version,cve_id,base_score,base_severity,cvss_version
0.8.53,CVE-2021-23017,7.7,HIGH,3.1
0.8.53,CVE-2017-20005,9.8,CRITICAL,3.1
0.8.53,CVE-2021-3618,7.4,HIGH,3.1
0.8.53,CVE-2026-49975,7.5,HIGH,3.1
1.9.3,CVE-2016-0742,7.5,HIGH,3.1
1.9.3,CVE-2016-0746,9.8,CRITICAL,3.1
1.9.3,CVE-2016-0747,5.3,MEDIUM,3.1
1.9.3,CVE-2016-4450,7.5,HIGH,3.1
1.9.3,CVE-2016-1247,7.8,HIGH,3.1
1.9.3,CVE-2017-7529,7.5,HIGH,3.1
1.9.3,CVE-2018-16845,6.1,MEDIUM,3.1
1.9.3,CVE-2019-20372,5.3,MEDIUM,3.1
1.9.3,CVE-2021-23017,7.7,HIGH,3.1
1.9.3,CVE-2017-20005,9.8,CRITICAL,3.1
1.9.3,CVE-2021-3618,7.4,HIGH,3.1
1.9.3,CVE-2022-41741,7.8,HIGH,3.1
1.9.3,CVE-2022-41742,7.1,HIGH,3.1
1.9.3,CVE-2026-49975,7.5,HIGH,3.1
1.19.4,CVE-2021-23017,7.7,HIGH,3.1
1.19.4,CVE-2021-3618,7.4,HIGH,3.1
1.19.4,CVE-2022-41741,7.8,HIGH,3.1
1.19.4,CVE-2022-41742,7.1,HIGH,3.1
1.19.4,CVE-2023-44487,7.5,HIGH,3.1
1.19.4,CVE-2025-23419,5.3,MEDIUM,4.0
1.19.4,CVE-2026-49975,7.5,HIGH,3.1
1.15.11,CVE-2019-9511,7.5,HIGH,3.1
1.15.11,CVE-2019-9513,7.5,HIGH,3.1
1.15.11,CVE-2019-9516,6.5,MEDIUM,3.1
1.15.11,CVE-2019-20372,5.3,MEDIUM,3.1
1.15.11,CVE-2021-23017,7.7,HIGH,3.1
1.15.11,CVE-2021-3618,7.4,HIGH,3.1
1.15.11,CVE-2022-41741,7.8,HIGH,3.1
1.15.11,CVE-2022-41742,7.1,HIGH,3.1
1.15.11,CVE-2023-44487,7.5,HIGH,3.1
1.15.11,CVE-2025-23419,5.3,MEDIUM,4.0
1.15.11,CVE-2026-49975,7.5,HIGH,3.1
0.3.33,CVE-2009-2629,7.5,,2.0
0.3.33,CVE-2009-3555,9.8,CRITICAL,3.1
0.3.33,CVE-2009-3896,5.0,,2.0
0.3.33,CVE-2009-3898,4.9,,2.0
0.3.33,CVE-2010-4180,4.3,,2.0
0.3.33,CVE-2012-1180,5.0,,2.0
0.3.33,CVE-2013-0337,7.5,,2.0
0.3.33,CVE-2016-1247,7.8,HIGH,3.1
0.3.33,CVE-2019-20372,5.3,MEDIUM,3.1
0.3.33,CVE-2017-20005,9.8,CRITICAL,3.1
0.3.33,CVE-2021-3618,7.4,HIGH,3.1
0.3.33,CVE-2026-49975,7.5,HIGH,3.1
1.9.11,CVE-2016-4450,7.5,HIGH,3.1
1.9.11,CVE-2016-1247,7.8,HIGH,3.1
1.9.11,CVE-2017-7529,7.5,HIGH,3.1
1.9.11,CVE-2018-16843,7.5,HIGH,3.1
1.9.11,CVE-2018-16844,7.5,HIGH,3.1
1.9.11,CVE-2018-16845,6.1,MEDIUM,3.1
1.9.11,CVE-2019-9511,7.5,HIGH,3.1
1.9.11,CVE-2019-9513,7.5,HIGH,3.1
1.9.11,CVE-2019-9516,6.5,MEDIUM,3.1
1.9.11,CVE-2019-20372,5.3,MEDIUM,3.1
1.9.11,CVE-2021-23017,7.7,HIGH,3.1
1.9.11,CVE-2017-20005,9.8,CRITICAL,3.1
1.9.11,CVE-2021-3618,7.4,HIGH,3.1
1.9.11,CVE-2022-41741,7.8,HIGH,3.1
1.9.11,CVE-2022-41742,7.1,HIGH,3.1
1.9.11,CVE-2023-44487,7.5,HIGH,3.1
1.9.11,CVE-2026-49975,7.5,HIGH,3.1
1.19.9,CVE-2021-23017,7.7,HIGH,3.1
1.19.9,CVE-2021-3618,7.4,HIGH,3.1
1.19.9,CVE-2022-41741,7.8,HIGH,3.1
1.19.9,CVE-2022-41742,7.1,HIGH,3.1
1.19.9,CVE-2023-44487,7.5,HIGH,3.1
1.19.9,CVE-2025-23419,5.3,MEDIUM,4.0
1.19.9,CVE-2026-49975,7.5,HIGH,3.1
